index,x,y,z,xn,yn,zn,error
354,-24.707351,-6.806614,-4.119732,-0.905658,-0.393076,-0.158981,25.370260
355,-24.367229,-7.695650,-4.028431,-0.902809,-0.404194,-0.146842,20.828024
356,-24.022426,-8.588371,-3.849730,-0.900033,-0.414853,-0.133558,32.830053
357,-23.706586,-9.415727,-3.740931,-0.903437,-0.412498,-0.116822,49.579886
358,-23.311122,-10.554239,-3.621108,-0.899865,-0.426562,-0.091034,38.102228
359,-22.853749,-11.352578,-3.514556,-0.896556,-0.436742,-0.073776,9.555204
360,-22.411164,-12.191653,-3.382887,-0.894542,-0.442353,-0.064175,31.691497
361,-22.019156,-13.084519,-3.246546,-0.905143,-0.424395,0.024599,28.540489
362,-21.593013,-13.917388,-3.128066,-0.892813,-0.440884,0.092230,33.452122
363,-21.096261,-14.757224,-3.068130,-0.881016,-0.463079,0.096790,39.569558
364,-20.638361,-15.610447,-2.958301,-0.870970,-0.478892,0.109884,51.793788
365,-20.026308,-16.424553,-2.975716,-0.848800,-0.506819,0.150574,14.579086
366,-20.917566,-16.640132,-3.221261,-0.854809,-0.502720,0.128742,5.896882
367,-17.543501,-22.656601,-9.636746,-0.874137,-0.397673,-0.278819,1264.959267
368,-15.807608,-20.198636,-11.499597,-0.825363,-0.414554,-0.383303,23.727049
369,-17.742438,-19.849473,-1.850674,-0.744526,-0.582683,0.325823,29.698197
370,-17.029819,-20.470961,-2.242058,-0.748893,-0.605803,0.268630,32.586078
371,-17.411682,-20.638422,-3.513291,-0.750045,-0.650089,0.121722,112.154173
372,-15.649923,-21.682602,-2.311091,-0.645227,-0.662418,0.380637,11.149386
373,-17.043146,-21.473858,-4.299476,-0.726969,-0.680937,0.088545,135.248813
374,-18.065620,-21.269153,-4.222537,-0.746753,-0.659929,0.082786,116.515610
375,-19.088094,-21.064447,-4.145598,-0.780969,-0.618303,0.088250,97.782406
376,-20.110568,-20.859742,-4.068659,-0.743324,-0.628941,0.227821,79.049203
377,-5.981208,-25.016170,-13.689271,0.455109,-0.629568,-0.629698,821.004737
378,-5.499058,-25.399721,-13.396388,0.471150,-0.637694,-0.609396,974.929036
379,-4.968192,-26.810387,-11.872976,0.428194,-0.706318,-0.563706,964.661426
